Key,Steps,Peak,Cardio,FatBurn,Mode,Minutes,Gender,Age,GPA,Life Score
290,6735,0.08,0.72,48.34,1,11.97,1,19,2.57,85
291,8638,0.19,0.68,54.26,1,8.13,0,19,3.64,69
292,14685,0.2,4.61,110.36,1,8.67,1,18,3.64,59
293,10888,0.45,2.92,105.42,1,9.18,0,18,4,56
294,14124,0.58,3.38,204.92,1,7.78,0,18,3.11,52
295,9517,0.52,1,61.58,1,7.8,0,18,3.71,40
296,8506,0.05,0.49,162.02,1,7.63,0,19,2.07,94
297,11074,0.09,4.12,121.47,1,5.92,0,23,2.92,64
298,13019,10.06,6.49,249.06,1,8.72,0,18,3.81,84
299,11516,1.44,8.2,107.8,1,10.1,1,19,4,81
300,9512,0.35,7.02,156.12,1,10.92,1,18,4,68
301,9,0,0,0.02,1,6.63,0,18,2.23,40
302,14537,2.9,12.04,289.09,1,7.05,1,18,3.53,74
303,20331,6.58,10.05,173.73,1,5.7,0,19,4,84
304,11763,2.15,7.46,284.34,1,10.48,1,18,4,87
305,10545,0.29,1.64,74.64,1,9.17,0,18,3.53,85
306,10165,0.28,1.83,76.04,0,17.07,0,18,3.07,59
307,13613,2.56,11.54,193.91,1,8.75,1,19,3.81,122
308,14515,1.17,21.7,319.02,1,10.9,1,18,3.53,92
309,10829,0.55,3.74,175.19,1,7,0,19,3.62,66
310,10503,1.46,10.03,428.74,1,10.95,1,19,3.3,71
311,10056,0.6,17.07,319.83,0,15.37,1,19,3.3,90
312,15203,4.94,18.19,234.63,1,8.03,1,18,3.25,47
313,10505,8.45,33.72,152.31,0,9.93,1,18,2.61,80
314,10552,0.23,3.36,98.44,1,11.25,1,18,3.57,84
315,5560,0.59,1.31,104.45,1,11.57,1,18,2.53,51
316,14219,3.43,12.33,76.52,1,8.93,1,19,4,59
317,8197,0.52,3.33,341.03,1,8.43,0,18,4,66
318,14994,0.21,10.88,156.06,1,7.67,1,18,4,89
319,10589,0.43,4.27,120.95,1,8.68,1,18,3.2,58
320,5881,0.03,0.49,31.08,1,11.27,1,18,1.38,94
321,11705,0.7,3.23,166.92,1,11.2,1,18,1.52,98
322,9530,0.91,5.73,172.76,1,15.62,1,18,3.81,67
323,12202,2.4,5.81,129.16,1,11.12,1,18,3.43,69
324,10655,1.08,4.9,73.18,1,11.92,1,20,4,75
325,9563,1.82,4.09,105.21,0,11.73,1,18,3.26,48
326,11572,3.22,8.16,218.38,1,9.57,1,18,4,77
327,11186,3.66,44.56,305.55,1,8.37,0,18,2.7,86
328,10423,0.63,5.96,142.5,1,12.22,1,18,4,62
329,12202,1.86,9.07,169.65,1,6.4,0,19,4,52
330,10596,0.36,2.31,118.4,1,11.45,1,17,2.58,83
331,986,0.21,0.86,12.48,0,14.8,1,18,1.75,64
332,13644,1.76,10.87,259.73,1,11.92,1,18,4,95
333,2321,0.25,0.47,13.95,1,7.05,0,18,2,59
334,3505,0,0,1.37,1,12.25,1,20,2.64,69
335,12409,3.23,10.97,124.95,1,9.08,1,18,4,57
336,12262,0.46,3.87,130.58,1,9.13,1,18,3.13,58
337,7725,0.03,1.78,132.5,1,12.9,1,19,3.5,96
338,10993,4.28,5.97,122.98,1,8.17,0,19,3.15,72
339,5081,0.47,3.88,103.47,0,16.22,1,18,1.33,120
340,15527,1.49,13.82,94.92,1,8.7,1,18,3.57,68
341,14291,0.67,2.56,111.77,1,15.73,0,18,3.07,77
342,9308,0.85,10.43,332.86,0,14.38,1,18,4,63
343,9836,0.81,6.95,95.86,1,7.75,0,18,4,52
344,10860,1.33,6.36,106.53,1,5.98,0,18,4,60
345,16102,0.44,2.62,108.5,0,14.58,0,18,3,44
346,10219,14.23,23.2,117.9,1,7.1,0,18,3.06,92
347,9635,0.13,1.58,105.57,1,9.7,0,19,2.76,65
348,14400,2.42,24.85,161.14,1,7.83,0,18,1.93,64
349,4584,0.25,2.09,101.34,0,16.17,0,19,1.66,90
350,10843,2.82,40.56,461.12,1,8.08,1,18,4,49
351,9572,4.05,13.58,81.91,1,9.58,1,18,4,82
352,9759,0.36,4.74,238.85,1,12.7,1,18,2.92,96
353,10502,17.23,30.75,308.59,1,11.83,1,19,2.87,58
354,7436,2.39,9.78,144.32,0,14.33,1,18,3.62,45
355,7525,0.2,0.45,13.74,1,6.45,0,19,1.78,59
356,12393,1.11,3.62,53.35,1,7.4,0,19,3.18,53
357,13897,3.43,14.86,165.54,0,14.65,1,19,3.2,77
358,10605,0.69,9.37,212.67,1,13.77,1,18,3.78,92
359,7993,0.19,2.95,137.16,1,6.95,0,18,3.37,58
360,13712,0,1.59,88.6,1,7.92,0,18,2.93,54
361,14601,0.91,3.32,119.87,1,7.63,0,20,3.07,74
362,10121,0.12,3.87,146.9,1,11,1,18,3,107
363,6875,0.25,4.35,270.59,0,18.92,1,18,4,70
364,11509,0.85,8.62,273.71,1,8.75,0,18,4,62
365,8625,0.71,1.83,55.42,1,8.55,0,20,2.68,35
366,12007,1,5.46,86.38,1,8.88,0,17,3.41,68
367,5963,0.3,3.88,83.95,1,7.4,0,21,3.21,35
368,11331,1.22,6.5,135.49,1,8.5,1,18,3.87,64
369,11687,0.43,1.89,279.87,1,11.17,1,18,3.47,93
370,12057,1.33,6.23,92.28,1,7.22,1,18,4,46
371,6999,1.86,5.46,80.71,1,7.75,0,19,2.25,88
372,6900,1.24,7.29,122.36,1,11.63,1,19,3.81,74
373,14046,0.4,3.44,215.13,0,16,1,25,3.81,70
374,7747,9.43,49.7,294.03,1,7.33,0,19,3.23,69
375,15207,1.07,13.76,445.93,0,12.72,1,18,3.06,71
376,13830,1.54,8.49,363.43,1,9.35,1,18,3.69,74
377,8102,0.66,2.36,185.27,0,14.67,1,18,2.17,63
378,11265,1.19,8.08,156.78,1,12.37,1,18,3.78,104
379,8624,0.57,1.71,105.37,1,10.12,1,18,1.07,94
380,14010,1.76,5.53,350.27,1,7.78,1,18,1.07,75
381,15418,4.51,11.31,167.91,1,7.68,1,18,4,60
382,9724,1.09,2.94,115.37,1,7.57,0,19,3,60
383,8502,0.2,1.1,64.14,1,10.03,1,18,4,83
384,2106,0.15,0.56,30.42,1,7.25,0,20,2.14,71
385,11700,0.23,2.28,167.9,1,6.7,0,40,2.72,59
386,11389,2.13,6.51,72.2,1,6.4,0,18,4,55
387,11235,0.11,3.71,164.18,1,9.82,1,18,2.5,108
388,8059,0.68,8.75,59.37,1,12.47,1,19,3.57,73
389,10761,1.76,7.28,138.06,1,9.67,1,18,2.84,51
390,11610,10.93,51.37,439.58,1,10.83,0,19,3.25,55
391,9652,0.39,3.01,95.08,0,18.87,1,18,3.53,129
392,12077,0.74,12.14,224.26,1,10.63,1,18,4,85
393,10433,2.52,11.56,95.61,1,7.5,1,18,4,61
394,15522,0.93,6.02,105.2,1,7.1,1,19,4,69
395,16962,0.6,4.08,121.86,1,7.07,1,18,2.92,59
396,16300,0.03,1.19,200.94,0,14.7,0,18,2.71,60
397,9996,21.88,62.05,238.26,1,8.72,1,18,2.91,73
398,11125,0.05,1.59,89.23,1,6.53,0,19,3.52,64
399,10338,0.24,1.53,151.77,1,8.37,0,18,2.66,87
400,9024,4.26,4.94,71.02,1,10.48,1,18,2.84,66
401,9334,0.12,3.56,116.38,1,12.38,1,18,4,69
402,7826,0.98,3.61,179.08,1,13.97,1,18,3.26,78
403,12509,2.16,13.98,260.72,1,10.93,0,18,3.62,92
404,8433,0.2,1.93,58.07,1,9.17,0,18,2.13,122
405,15190,0.79,3.25,138.65,1,9.53,1,17,3.33,84
406,9208,0.83,5.28,48.22,1,11.08,1,23,4,57
407,9155,2.75,9.07,82.42,1,8.22,1,19,4,54
408,6948,0.04,0.69,196.77,1,11.57,1,16,2,130
409,9304,0,0.92,22.9,1,7.52,0,20,3,64
410,12636,5.69,3.42,73.42,1,5.62,0,19,0.6,45
411,6328,0.61,2.54,108.04,1,9,1,18,2.52,91
412,3777,0.19,0.75,46.27,1,15.17,1,18,3,52
413,13428,4.14,9.56,157.58,1,7.5,1,19,4,42
414,11083,1.52,10.74,201.43,0,17.67,1,19,4,59
415,9413,0.61,6.59,92.11,1,6.68,0,19,2.35,41
416,10440,1,3.39,54.49,1,7.43,1,18,4,70
417,7799,1.16,16.43,280.94,1,12.25,1,18,3.57,87
418,12719,0.13,3.85,105.09,1,7.27,1,18,3.77,81
419,18262,1.1,8.57,206.13,1,7.22,0,19,3.81,61
420,18849,0.64,3.41,187.25,1,6.83,0,18,3.76,43
421,10513,0.44,2.42,122.06,1,7.68,0,18,3.62,69
422,13099,1.44,5.87,181.58,1,6.43,0,19,2.92,66
423,8771,0.84,6.94,63.47,1,8.52,1,19,3.82,62
424,9784,5.22,16.52,131.12,1,7.7,0,18,3.3,60
425,13646,0.12,3.11,116.48,1,6.3,0,19,4,68
426,10148,157.48,53.71,26.25,1,6.15,0,18,3,56
427,8786,0.4,2.01,44.6,1,6.25,0,18,3.93,68
428,10715,2.06,6.39,129.51,0,13.58,1,19,4,78
429,9920,0.62,3.43,257.99,1,9.42,0,35,3.35,73
430,12292,1.76,17.19,218.37,1,9.4,0,18,3.3,86
431,9734,0.77,3.51,116.92,1,7.33,0,23,3.23,65
432,9247,2.95,17.79,351.92,1,7.87,1,18,4,67
433,12504,1.07,9.75,190.98,1,10.57,1,19,3.27,90
434,14593,0.45,5.17,120.02,1,6.82,0,18,3.82,46
435,7452,0.68,4.31,77.15,0,12.68,1,19,2.5,61
436,9723,1.71,11.98,225.04,1,12.33,1,19,1.13,59
437,10345,3.31,13.99,117.52,1,11.5,1,18,4,64
438,10156,1.92,7.24,96.52,1,10.9,1,18,3.67,87
439,9883,1.6,4.75,67.13,1,7.37,1,24,3.21,64
440,8968,0.14,1.66,130.14,1,10.48,1,18,3.78,65
441,6226,0.05,0.45,52.55,0,17.42,1,18,0.9,61
442,11275,3.59,10.92,279.07,1,11.67,0,19,2.4,96
443,6844,0,0,21.86,1,6.07,0,19,3.07,51
444,8868,0.19,4.66,117.55,1,11.7,1,17,3.76,112
445,13460,2.37,3.9,100.09,1,7.5,1,19,3.57,69
446,0,0,0,0,1,13.38,1,19,1.92,73
447,9117,14.16,15.25,77.9,1,11.9,0,19,2.5,93
448,16,0,0,0.01,1,5.83,0,21,3.07,58
449,13457,0.98,4.58,172.65,1,6.63,0,19,3.23,79
450,14650,0.19,1.23,103.3,1,7.03,0,18,3.23,64
451,2944,0.41,0.55,24.41,1,15.33,1,18,1.2,88
452,10026,0.1,2.93,90.1,1,7.6,0,18,3.53,105
453,13426,4.45,31.09,42.92,1,5.58,1,20,4,46
454,9033,2.87,16.21,208.41,1,13,1,18,2.84,112
455,9447,0.25,2.79,63.03,1,7.85,1,18,1.42,64
456,10442,2.67,8.85,111.93,1,14.13,1,18,3,95
457,9811,0.67,4.6,154.06,1,13.88,1,19,4,88
458,14779,3.03,6.57,238.74,1,6.32,0,19,3.81,52
459,13693,0.06,1.34,128.35,1,7.22,0,18,4,76
460,6285,0.04,1.25,91.6,1,15.72,1,17,1.85,93
461,14438,1.83,12.98,257.97,1,11.95,0,19,3.63,108
462,6668,1.92,3.93,105.91,1,14.5,1,18,3.69,71
463,8156,2.25,8.44,100.65,1,14.07,1,18,2.37,71
464,15814,0.42,6.75,174.01,1,6.58,1,20,2.71,61
465,13029,0.97,9.89,78.86,0,17.88,1,19,3.57,54
466,8149,0.42,3.26,177.2,1,11.25,1,18,2.84,63
467,8025,2.59,12.98,67.83,1,7.58,0,19,2.92,68
468,4641,0.57,5.52,119.14,0,16.67,1,19,2.11,61
469,12294,0.1,3.43,102.59,1,7.2,0,19,3.43,64
470,9397,4.18,14.95,327.47,1,8.3,1,18,4,47
471,10451,1.62,11.38,95.4,1,8.33,1,18,4,52
472,5342,5.92,76.31,171.58,1,13.58,1,18,1,87
473,12156,1.08,4.62,96.15,1,10.28,0,18,2.62,44
474,8258,2.05,6.46,116.71,1,11.55,1,18,3,118
475,8134,0.02,0.74,20.23,1,6.8,0,18,3.23,80
476,10863,2.34,22.14,298.34,1,8.92,1,18,3.6,53
477,14728,1.54,7.1,185.95,1,9.9,0,18,3.55,63
478,7654,1.06,7.58,55.1,1,13.22,1,18,3.57,60
479,2876,0,0,16.5,1,8.8,0,19,1.15,96
480,2772,0.22,0.29,69.33,1,11.43,0,19,2.25,71
481,10277,0.75,5.54,107.9,0,16.08,1,19,3.35,86
482,11449,2.23,8.05,96.38,1,8.12,1,18,3.6,71
483,10583,4.58,54.92,296.74,1,8.82,0,19,3.25,100
484,8408,0.78,3.1,76.25,1,7.85,1,18,2,72
485,10418,0.36,3.11,89,1,11.48,1,18,2.93,53
486,11939,0.76,12.2,144.23,1,9.93,1,18,3.96,83
487,4668,0.14,0.7,49.76,1,6.87,0,18,2.54,78
488,11337,0.66,8.15,109.81,1,7.9,1,18,3,36
489,6876,0.57,2.25,86.34,1,11.02,0,18,0.8,100
490,7086,0.16,1.04,60.8,1,10.5,1,18,3.46,83
491,9236,1.1,2.64,96.09,1,8.72,1,19,4,49
492,4937,0.09,3.02,236.16,0,18.13,1,21,3.34,80
493,8844,1.3,5,70.19,1,6.85,0,18,3.07,56
494,10396,0.37,4.78,353.47,1,10.82,1,19,3.3,62
495,10472,2.69,7.2,163.71,1,12.4,1,18,4,82
496,12755,2.8,16.74,177.59,1,8.7,0,19,3.61,90
497,14406,1.68,12.16,338.26,1,7.35,0,18,3.41,71
498,11813,1.16,6.4,179.09,1,10.52,1,18,3.64,79
499,15965,1.24,4.57,115.33,1,6.22,0,19,4,79
500,14644,0.75,30.91,76.32,1,8.33,0,18,3.45,63
501,9394,0.62,3.3,100.2,1,7.25,1,18,3.82,53
502,8391,0.55,1.41,132.64,0,12.67,1,18,3.76,81
503,7852,2.2,4.65,86.83,1,7.1,1,18,0.62,35
504,11592,4.57,4.78,136.38,1,10.18,1,19,4,60
505,8826,2.43,38.89,729.38,1,11.1,1,18,3.42,92
506,7245,0.15,1.55,161.56,1,12.77,1,19,2,93
507,15523,0.91,4.46,69.01,1,5.75,0,18,2.71,71
508,7587,0.67,5.12,99.36,1,13,1,18,3.82,70
509,9416,0.99,5.42,175.89,1,13.75,1,19,3.33,74
510,7352,0.25,1.06,168.76,1,8.9,0,18,3,92
511,7373,0.6,1.37,65.4,1,6.57,0,19,3.52,80
512,7275,1.87,5.6,71.65,1,6.55,0,19,3.69,44
513,9057,0.08,0.54,120.43,1,7.37,0,18,3.4,93
514,9579,0.23,1.93,239.35,1,12.82,1,19,2.69,81
515,9288,4.68,8.24,98.47,1,9.52,1,18,3.82,72
516,9120,1.98,12.42,293.43,1,9.33,1,19,3.8,53
517,18673,1.7,3.81,75.61,1,7.78,1,18,2.87,67
518,9645,0.61,4.44,182.21,0,12.95,1,19,2.41,99
519,8785,4.49,32.35,278.24,1,16.38,1,19,3.37,84
520,11435,3.2,12.2,174.1,1,7.12,0,18,1.92,74
521,9891,0.17,3.28,154.79,1,13.2,1,18,2.21,73
522,12497,0.29,1.59,65.51,1,9,0,19,3.62,69
523,9681,0.18,1.75,106.4,1,9.97,1,18,3.62,76
524,5479,0.53,2.27,113.42,1,11.13,1,19,3,42
525,12381,2.73,8.95,127.65,1,7.53,1,18,4,65
526,11490,0.16,7.75,61.42,0,15.33,1,18,4,54
527,11207,2.32,8.21,289.8,1,8.75,1,18,4,65
528,12955,0.23,1.16,111.51,1,13.4,1,18,2.76,66
529,12841,0.2,1.75,353.22,0,15.13,1,18,1.94,94
530,3595,0.11,3.62,135.4,1,15.2,1,20,3.92,83
531,11801,0.55,1.72,65.78,1,6.23,0,19,3.5,76
532,7594,0.11,2.22,142.09,1,10.28,1,18,0.07,55
533,7692,0.13,0.99,250.37,0,16.33,1,18,2.57,83
534,7414,0.78,1.78,107.15,1,8,0,18,3.38,66
535,9497,2.06,13.59,135.11,1,10.77,1,19,3.81,52
536,12344,1.02,10.99,270.89,1,11.37,1,19,3.41,69
537,6848,1.9,4.8,102.2,1,11.1,1,19,3.07,86
538,9763,2.03,5.53,160.89,1,12.15,1,19,3.29,84
539,11572,0.05,2.6,212.13,1,10.67,1,19,3.75,35
540,9975,0.24,8.92,475.39,0,16.37,1,19,3.3,77
541,6066,1.82,1.54,74.88,0,21.07,0,20,1.85,84
542,13193,2.16,4.92,95.36,1,8.27,1,18,3.82,79
543,12979,2.76,16.5,229.91,1,12.7,1,18,3.35,120
544,6619,0.44,3.9,117.01,1,15,1,18,2.5,49
545,10316,0.87,4.99,68.98,1,11.08,1,19,4,62
546,11481,3.07,8.63,217.74,1,8.08,0,19,3.38,80
547,10606,0.59,2.3,77.94,1,7.37,0,18,3.29,63
548,16236,0.47,1.58,81.34,1,6.8,0,20,3.42,52
549,8732,0.81,2.53,145.17,1,7.73,0,18,2.29,107
550,12842,2.43,18.88,291.73,0,13.18,1,20,3.87,60
551,11000,0.13,2.65,102.57,1,6.97,0,19,3.81,70
552,8846,0.46,2.65,116.59,1,9.28,1,19,3.18,76
553,12692,0.47,1.83,75.53,1,9.05,0,20,2,68
554,5479,0.13,1.53,201.93,1,7.43,1,19,0,112
555,9349,0.02,1.39,72.44,1,13.08,1,18,3.2,76
556,7781,3.22,11.31,204.96,1,6.33,0,20,3.07,94
557,15035,2.44,10.21,168.78,1,7.98,1,19,3.47,71
558,10009,0.11,2.35,102.52,1,7.28,0,18,3,84
559,7164,0.8,4.56,127.05,1,10.75,1,18,2.78,43
560,11551,0.24,1.68,187.26,1,9.13,1,19,4,71
561,9203,0.89,3.13,213.82,0,12.67,1,18,3.3,87
562,4045,0.46,2.08,197.26,0,18.78,1,18,3.76,107
563,11610,0.93,5.88,303.67,1,9.23,1,18,3.93,63
564,10776,0.21,1.57,199.1,1,19.1,1,18,2.37,98
565,11044,6.31,45.87,209.49,1,8.52,0,19,4,88
566,4819,0.15,2.25,89.94,1,10.98,0,18,2.5,106
567,7682,0.63,3.13,46.58,1,7.08,0,19,2.7,69
568,10776,1.53,8.14,125.4,1,8.4,1,17,3.65,93
569,9837,1.24,8.07,57.89,1,8.15,1,19,3.78,37
570,12022,0.97,4.58,185.97,1,13.48,0,18,2.07,100
571,10525,0.1,3.34,253.13,0,13,0,18,3.41,89
572,11887,1.09,5.49,248.26,1,10.02,1,18,4,61
573,6801,1.72,6.4,68.19,1,8.38,1,18,2.38,47
574,11005,0.14,2.75,127.58,1,7.08,0,19,3,62
575,13781,0.76,3.1,210.66,1,8.18,0,17,3.81,62
576,13004,0.88,8.63,263.19,1,10.9,1,19,4,76
577,10445,2.55,11.02,194.46,1,8.53,1,18,3.73,57
578,13537,0.1,1.54,87.39,1,6.55,0,18,3.93,53
579,7653,0.38,2.64,68.24,1,7.63,0,18,2.92,70
580,13828,3.17,8,189.69,1,8.25,1,18,3.94,73
581,7711,2.29,2.49,50.41,1,7.5,0,19,3.52,79
